Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.0,274772,80,3434.7,3424.0,3360,3744,70.3,   1    1    1, 256    1    1,"void mul_mat_vec_f<float, float, (int)2, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,253402,80,3167.5,3168.0,3072,3520,59.9,   2    8    1, 256    1    1,"moe_weighted_reduction_f32(const float *, const float *, const float *, float *, long, int)"
0.0,246586,40,6164.7,6176.0,5888,6560,133.9, 512    1    1,  32    1    1,"void dequantize_block_q4_0<__half>(const void *, T1 *, int)"
0.0,242971,120,2024.8,2016.0,1983,2304,47.0,  16    1    1, 256    1    1,"scale_f32(const float *, float *, float, float, long)"
0.0,235994,80,2949.9,2944.0,2879,3104,54.9,  16    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,234881,80,2936.0,2912.0,2880,3168,53.3, 128    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,229534,80,2869.2,2784.0,2687,3296,160.9,  16    1    1, 256    1    1,"void k_get_rows_float<int, int>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,216890,60,3614.8,3584.0,3328,3968,135.8,  32    2    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,214298,30,7143.3,7039.5,6687,7776,326.0, 368    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,207292,80,2591.2,2560.0,2464,2816,71.3,  16    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,205056,39,5257.8,4896.0,4832,6176,542.5,   8    1   23, 256    1    1,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,204186,80,2552.3,2592.0,2336,2817,109.7,  16    2    1, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,201403,60,3356.7,3232.0,2944,6400,518.9, 184    1    1, 256    1    1,"scale_f32(const float *, float *, float, float, long)"
0.0,199995,40,4999.9,4912.0,4736,5504,217.2, 184    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,197528,40,4938.2,5023.5,3712,6048,658.8,  20    4    1,  32    4    1,"void mul_mat_q_stream_k_fixup<(ggml_type)12, (int)24, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,194427,60,3240.5,3232.0,2975,3616,224.4,  16    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)22, (int)4, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,189718,80,2371.5,2368.0,2303,2752,71.6,   2    8    2, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,189688,60,3161.5,3136.0,3071,3999,143.5,  96    1    1, 256    1    1,"scale_f32(const float *, float *, float, float, long)"
0.0,177338,20,8866.9,8335.5,8127,10304,929.3,   2    1    1, 256    1    1,"void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
0.0,176830,80,2210.4,2208.0,2175,2496,39.4,   8    2    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,175968,80,2199.6,2176.0,2144,2496,58.5,   8    1    2, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,172666,80,2158.3,2144.0,2080,2496,73.6,   2    2    1, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,171354,60,2855.9,2848.0,2752,2976,39.0,  32    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,163555,80,2044.4,2048.0,1984,2368,58.9,   4    1    1, 256    1    1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,162939,40,4073.5,3936.0,3647,4703,319.0, 184    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,159908,90,1776.8,1856.0,1535,2176,157.4,   1    1    1, 256    1    1,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.0,152314,60,2538.6,2528.0,2495,2880,52.0,   1    1    1,  16    2    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,152189,60,2536.5,2528.0,2463,2816,52.4,   1    1    1,  16    2    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,151611,40,3790.3,3871.0,3168,5152,459.9, 256    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,151167,40,3779.2,3695.5,3519,4288,247.0,  23    1    1, 256    1    1,"void mul_mat_vec_f<float, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,147160,20,7358.0,7359.0,7007,7712,177.8, 256    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)12, (int)2, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,143903,60,2398.4,2432.0,2112,2720,148.9,  16    4    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)0, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,143036,40,3575.9,3552.0,3520,3936,66.7,   1    1    1, 256    1    1,"void mul_mat_vec_f<float, float, (int)4, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,138141,40,3453.5,3328.0,3200,3872,252.7,   8    2    1,  32   16    1,"void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.0,136761,66,2072.1,2048.0,2015,2464,88.3,   1    8    1, 256    1    1,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,127390,30,4246.3,4224.0,4096,4672,118.6,  32    4    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,123932,10,12393.2,11696.0,11391,14303,1205.4,  20    4    8, 256    1    1,"void flash_attn_stream_k_fixup_general<(int)256, (int)4, (int)8>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.0,120924,40,3023.1,2816.0,2752,3679,317.3,  23    8    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long, long, long, long, long, int, int, int)"
0.0,118594,40,2964.9,3008.0,2784,3168,104.9,   4    8    1, 256    1    1,"moe_weighted_reduction_f32(const float *, const float *, const float *, float *, long, int)"
0.0,116414,40,2910.4,2768.0,2400,4064,537.8,  23    4    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1, (bool)0>(const float *, const int *, void *, long, long, long, long, long, int, int, int)"
0.0,113339,40,2833.5,2656.0,2592,3360,280.9,   8   23    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,109434,40,2735.9,2720.0,2592,3040,93.4,  32    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,108223,60,1803.7,1792.0,1728,2112,72.6,  32    1    1, 256    1    1,"scale_f32(const float *, float *, float, float, long)"
0.0,107356,39,2752.7,2592.0,2527,3424,270.8,  23    1    1, 256    1    1,"void soft_max_f32<(bool)1, (int)256, (int)256, float>(const float *, const T4 *, const float *, float *, soft_max_params)"
