Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.0,96703,10,9670.3,9536.0,9312,10336,355.1, 128    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)22, (int)1, (bool)0, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,95359,30,3178.6,3136.0,3072,4127,186.3,  96    1    1, 256    1    1,"scale_f32(const float *, float *, float, float, long)"
0.0,93632,40,2340.8,2336.0,2272,2560,47.2,  32    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,91358,10,9135.8,8608.0,8448,10560,911.7,  16   23    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,88478,40,2212.0,2208.0,2176,2560,64.1,   8    2    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,88059,40,2201.5,2144.0,2080,3904,286.6,   8    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,87967,40,2199.2,2208.0,2143,2432,43.5,   8    1    2, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,87648,40,2191.2,2144.0,2080,2816,167.4,  64    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,87101,30,2903.4,2848.0,2783,4128,236.2,  32    1    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.0,86397,40,2159.9,2240.0,1792,2592,232.8,  16    1    1, 256    1    1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
