| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |             pp2 |          2.96 ± 0.04 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |             pp4 |          3.86 ± 0.04 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |             pp8 |          4.59 ± 0.04 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |            pp16 |          4.83 ± 0.10 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |            pp32 |         23.64 ± 0.43 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |             pp2 |          3.85 ± 0.24 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |             pp4 |          7.17 ± 0.25 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |             pp8 |         12.33 ± 0.32 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |            pp16 |         16.91 ± 0.35 |
| qwen35 27B PQ2_0 - 2.13 bpw (group 128) |   7.67 GiB |    26.90 B | CUDA       |  24 |   1 |       none |            pp32 |         23.46 ± 0.48 |
